CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
FPP101,C2-1227,2015-06-10,2015-05-13,28
FPP101,C2-1227,2015-07-09,2015-06-10,29
FPP101,C2-1227,2015-09-25,2015-07-09,78
FPP101,C2-1227,2015-11-23,2015-09-25,59
FPP101,C2-1227,2015-12-16,2015-11-23,23
FPP101,C2-1227,2016-01-18,2015-12-16,33
FPP101,C2-1227,2016-02-05,2016-01-18,18
FPP101,C2-1227,2016-04-06,2016-02-05,61
FPP101,C2-1227,2016-05-06,2016-04-06,30
FPP101,C2-1227,2016-06-06,2016-05-06,31
FPP101,C2-1227,2016-07-08,2016-06-06,32
FPP101,C2-1227,2016-08-09,2016-07-08,32
FPP101,C2-1227,2016-10-21,2016-08-09,73
FPP101,C2-1227,2017-07-11,2016-10-21,263
FPP101,C2-1227,2017-07-27,2017-07-11,16
